Ouvriers et manoeuvres,,
"A tandem-cylindre vibrants, largeur 1,20 m, poids 2,3/3,0 T",h,"21,97€"
"A tandem-cylindre vibrants, largeur 1,40 m, poids 7,0/8,9 T",h,"52,58€"
"A tandem-cylindre vibrants, largeur 1,60 m, poids 9,0/10,0 T",h,"73,90€"
"A monocylindre vibrant, largeur 1,20 m, poids 3,5/5,0 T",h,"44,65€"
"A monocylindre vibrant, largeur 1,40 m, poids 5,0/6,0 T",h,"49,02€"
"A monocylindre vibrant, largeur 1,60 m, poids 6,5 T",h,"42,68€"
"A monocylindre vibrant, largeur 2,10 m, poids 9,5/12 T",h,"46,26€"
"A monocylindre vibrant, largeur 2,10 m, poids 12,5/14 T",h,"71,21€"
"A monocylindre vibrant, largeur 2,10 m, poids 15/18 T",h,"65,39€"
"A monocylindre vibrant, largeur 2,10 m, poids 17/19 T",h,"87,10€"
"Rouleau tandem VT2/VT0 10 T, largeur 1,70 m",j,"506,93€"
"Rouleau tandem VT2 9 T, largeur 1,60 m",j,"459,56€"
"Rouleau tandem VT1 7 T, largeur 1,40 m",j,"329,56€"
"Rouleau tandem PV3 4 T, largeur 1,30 m",j,"205,60€"
"Rouleau tandem PV3 2,6 T, largeur 1,20 m",j,"138,06€"
"Rouleau tandem PV3 2,5 T, largeur 1 m",j,"126,98€"
"Rouleau tandem PV2 1,5 T, largeur < 1 m",j,"136,62€"
Compresseur,,
"Electrique, compris pistolet avec flexible de 10,00 m et pointerolle, la journée de 8 h",h,"12,22€"
"Electrique, 230 V, débit 5/10 m3/h",h,"1,97€"
"Electrique, 230 V, débit 16/25 m3/h",h,"5,31€"
"thermique sur remorque, 7 bar, 1600/2100 litre/mn",h,"6,52€"
"Thermique sur remorque, 7 bar, 2200/2600 litre/mn",h,"7,46€"
"Thermique sur remorque, 7 bar, 2700/3200 litre/mn",h,"7,78€"
"Thermique sur remorque, 7 bar, 3300/4200 litre/mn",h,"9,64€"
"Thermique sur remorque, 7 bar, 4500/5600 litre/mn",h,"11,99€"
"Thermique sur remorque, 7 bar, 9000/10500 litre/mn",h,"26,06€"
"Thermique sur remorque, 7 bar, 17000/19000 litre/mn",h,"29,30€"
"Thermique sur remorque, 7 bar, 20000/22000 litre/mn",h,"34,40€"
"Thermique sur remorque, 12 bar, 9000/10500 litre/mn",h,"27,05€"
"Thermique sur remorque, 12 bar, 11000/13000 litre/mn",h,"33,47€"
"Thermique sur remorque, 12 bar, 20000/22000 litre/mn",h,"58,33€"
"Thermique sur remorque, 20 bar, 20000/22000 litre/mn",h,"71,16€"
"Compresseur équipé 5000 litre, à la journée",j,"75,79€"
"Compresseur équipé 4000 litre, à la journée",j,"64,49€"
"Compresseur équipé 3000 litre, à la journée",j,"52,40€"
"Compresseur équipé 2000 litre, à la journée",j,"45,15€"
"thermique sur remorque, 7 bar, 2000 litre/mn, à la journée",j,"33,87€"
"thermique sur remorque, 7 bar, 3000 litre/mn, à la journée",j,"41,12€"
"thermique sur remorque, 7 bar, 4000 litre/mn, à la journée",j,"53,22€"
"thermique sur remorque, 7 bar, 5000 litre/mn, à la journée",j,"64,49€"
"thermique sur remorque, 7 bar, 7000 litre/mn, à la journée",j,"96,75€"
"thermique sur remorque, 7 bar, 11000 litre/mn, à la journée",j,"149,16€"
"thermique sur remorque, 12 bar, 11000 litre/mn, à la journée",j,"177,36€"
"thermique sur remorque, 12 bar, 21000 litre/mn, à la journée",j,"249,36€"
Construction modulaire,,
"Module R/R+1, le mois",U,"247,46€"
"monobloc 6 m, le mois",U,"242,63€"
Container,,
capacité 5 m3,U,"190,13€"
"capacité 9 m3, au mois",U,"202,62€"
capacité 10 m3,U,"215,49€"
"capacité 15 m3, au mois",U,"230,68€"
"capacité 32 m3, au mois",U,"240,27€"
Coupe-granito,,
la journée de 8 h,U,"16,21€"
Coupe-tuile,,
la journée de 8 h,U,"18,69€"
Crépisseuse,,
la journée de 8 h,U,"5,59€"
Débrousailleuse,,
